aeropuerto,period,date,value,countryCod,airpCod,countryDesc,airpDesc,mes,year,año,totalDeVuelos
FR_LFPO,2020-06,1/6/2020,471,FR,LFPO,Francia,Aeropuerto de Paris-Orly,6,2020,2020,471
FR_LFPO,2020-07,1/7/2020,5289,FR,LFPO,Francia,Aeropuerto de Paris-Orly,7,2020,2020,5289
FR_LFPO,2020-08,1/8/2020,8386,FR,LFPO,Francia,Aeropuerto de Paris-Orly,8,2020,2020,8386
FR_LFPO,2020-09,1/9/2020,9301,FR,LFPO,Francia,Aeropuerto de Paris-Orly,9,2020,2020,9301
FR_LFPO,2020-03,1/3/2020,9634,FR,LFPO,Francia,Aeropuerto de Paris-Orly,3,2020,2020,9634
FR_LFPO,2020-02,1/2/2020,15677,FR,LFPO,Francia,Aeropuerto de Paris-Orly,2,2020,2020,15677
FR_LFPO,2020-01,1/1/2020,16680,FR,LFPO,Francia,Aeropuerto de Paris-Orly,1,2020,2020,16680
NL_EHAM,2019-02,1/2/2019,35995,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol,2,2019,2019,35995
NL_EHAM,2019-01,1/1/2019,37938,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol,1,2019,2019,37938
NL_EHAM,2019-03,1/3/2019,40659,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol,3,2019,2019,40659
NL_EHAM,2019-04,1/4/2019,42890,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol,4,2019,2019,42890
NL_EHAM,2019-06,1/6/2019,44644,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol,6,2019,2019,44644
NL_EHAM,2019-09,1/9/2019,45248,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol,9,2019,2019,45248
NL_EHAM,2019-07,1/7/2019,45874,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol,7,2019,2019,45874
NL_EHAM,2019-05,1/5/2019,45944,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol,5,2019,2019,45944
NL_EHAM,2019-08,1/8/2019,46050,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol,8,2019,2019,46050
NL_EHAM,2020-04,1/4/2020,4543,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol,4,2020,2020,4543
NL_EHAM,2020-05,1/5/2020,6280,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol,5,2020,2020,6280
NL_EHAM,2020-06,1/6/2020,8763,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol,6,2020,2020,8763
NL_EHAM,2020-07,1/7/2020,16744,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol,7,2020,2020,16744
NL_EHAM,2020-09,1/9/2020,22988,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol,9,2020,2020,22988
NL_EHAM,2020-08,1/8/2020,24054,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol,8,2020,2020,24054
NL_EHAM,2020-03,1/3/2020,25792,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol,3,2020,2020,25792
NL_EHAM,2020-02,1/2/2020,35830,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol,2,2020,2020,35830
NL_EHAM,2020-01,1/1/2020,38324,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol,1,2020,2020,38324
UK_EGLL,2019-02,1/2/2019,35554,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow,2,2019,2019,35554
UK_EGLL,2019-01,1/1/2019,38148,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow,1,2019,2019,38148
UK_EGLL,2019-09,1/9/2019,39507,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow,9,2019,2019,39507
UK_EGLL,2019-03,1/3/2019,40126,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow,3,2019,2019,40126
UK_EGLL,2019-04,1/4/2019,40514,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow,4,2019,2019,40514
UK_EGLL,2019-06,1/6/2019,41158,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow,6,2019,2019,41158
UK_EGLL,2019-05,1/5/2019,41862,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow,5,2019,2019,41862
UK_EGLL,2019-08,1/8/2019,42528,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow,8,2019,2019,42528
UK_EGLL,2019-07,1/7/2019,42669,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow,7,2019,2019,42669
